bowler,innings,balls_bowled,overs,runs_conceded,wickets,dot_balls,economy
YS Chahal,95,2074,345.4,2663,126,724,7.7
R Ashwin,118,2537,422.5,2958,108,894,7.0
B Kumar,105,2292,382.0,3015,102,976,7.89
A Mishra,85,1777,296.1,2193,99,630,7.4
Rashid Khan,74,1623,270.3,1977,96,606,7.31
Harbhajan Singh,79,1731,288.3,2070,92,658,7.18
JJ Bumrah,82,1806,301.0,2225,92,747,7.39
SP Narine,87,1984,330.4,2259,91,769,6.83
RA Jadeja,117,2022,337.0,2589,90,664,7.68
DJ Bravo,81,1505,250.5,2059,89,495,8.21
SL Malinga,64,1462,243.4,1713,86,622,7.03
PP Chawla,79,1606,267.4,2112,80,562,7.89
MM Sharma,61,1194,199.0,1672,74,424,8.4
TA Boult,66,1430,238.2,2021,73,577,8.48
K Rabada,46,1006,167.4,1404,71,414,8.37
HV Patel,67,1349,224.5,1987,70,417,8.84
Mohammed Siraj,70,1409,234.5,2165,69,565,9.22
Sandeep Sharma,71,1489,248.1,2005,69,581,8.08
AR Patel,80,1593,265.3,1959,65,521,7.38
KH Pandya,73,1310,218.2,1722,60,422,7.89
CV Varun,44,1019,169.5,1323,60,377,7.79
SN Thakur,51,1009,168.1,1645,59,336,9.78
Mohammed Shami,66,1377,229.3,1994,59,563,8.69
DW Steyn,56,1240,206.4,1459,55,591,7.06
KV Sharma,54,913,152.1,1278,53,299,8.4
PJ Cummins,42,912,152.0,1286,53,366,8.46
PP Ojha,48,1012,168.4,1258,52,362,7.46
Z Khan,48,998,166.2,1283,52,402,7.71
I Sharma,64,1296,216.0,1793,51,556,8.3
AD Russell,51,758,126.2,1253,50,266,9.92
Arshdeep Singh,48,1006,167.4,1494,48,366,8.91
R Vinay Kumar,53,1055,175.5,1479,48,369,8.41
JD Unadkat,59,1154,192.2,1787,48,376,9.29
M Prasidh Krishna,42,886,147.4,1236,47,388,8.37
DL Chahar,47,932,155.2,1312,47,396,8.45
A Nehra,43,920,153.2,1202,46,381,7.84
JA Morkel,53,999,166.3,1411,46,375,8.47
Ravi Bishnoi,47,960,160.0,1392,45,335,8.7
RD Chahar,45,929,154.5,1253,45,307,8.09
Avesh Khan,40,833,138.5,1285,44,293,9.26
L Balaji,40,788,131.2,1113,44,286,8.47
UT Yadav,56,1069,178.1,1523,44,432,8.55
P Kumar,59,1196,199.2,1507,43,535,7.56
Kuldeep Yadav,42,895,149.1,1207,42,288,8.09
M Muralitharan,38,863,143.5,998,42,351,6.94
KK Ahmed,37,765,127.3,1158,41,321,9.08
JR Hazlewood,30,664,110.4,969,41,285,8.76
SR Watson,49,899,149.5,1179,41,359,7.87
DS Kulkarni,42,795,132.3,1099,38,332,8.29
KA Pollard,55,801,133.3,1145,38,232,8.58
MG Johnson,28,620,103.2,835,38,278,8.08
Imran Tahir,28,614,102.2,774,37,218,7.56
CH Morris,37,726,121.0,1013,35,260,8.37
MJ McClenaghan,28,611,101.5,846,34,246,8.31
SK Trivedi,36,755,125.5,905,34,261,7.19
A Nortje,26,585,97.3,832,33,229,8.53
IK Pathan,42,753,125.3,1003,32,332,7.99
MM Patel,29,641,106.5,811,32,276,7.59
RP Singh,39,804,134.0,1080,32,330,8.06
SB Jakati,37,715,119.1,987,32,216,8.28
AB Dinda,35,656,109.2,843,32,282,7.71
HH Pandya,55,814,135.4,1234,32,276,9.1
LH Ferguson,26,535,89.1,803,30,211,9.01
R Bhatia,39,671,111.5,925,30,173,8.27
MM Ali,36,530,88.2,637,29,198,7.21
Noor Ahmad,26,539,89.5,774,29,172,8.62
Mustafizur Rahman,32,703,117.1,1010,29,242,8.62
JC Archer,28,636,106.0,887,28,282,8.37
M Pathirana,21,423,70.3,615,28,155,8.72
JH Kallis,34,633,105.3,779,28,236,7.38
TU Deshpande,29,570,95.0,968,28,195,10.19
MP Stoinis,38,472,78.4,816,27,134,10.37
JO Holder,28,562,93.4,864,26,194,9.22
MC Henriques,37,568,94.4,803,26,182,8.48
S Kaul,28,582,97.0,803,26,199,8.28
SK Warne,22,462,77.0,540,25,168,7.01
Shakib Al Hasan,32,632,105.2,876,25,198,8.32
Yash Dayal,22,447,74.3,742,25,158,9.96
DE Bollinger,19,391,65.1,498,25,160,7.64
Iqbal Abdulla,25,494,82.2,629,25,165,7.64
TG Southee,27,596,99.2,863,25,233,8.69
GJ Maxwell,48,526,87.4,729,24,161,8.32
PWH de Silva,21,438,73.0,670,24,143,9.18
VG Arora,22,442,73.4,764,24,150,10.37
E Malinga,15,318,53.0,500,24,115,9.43
M Ashwin,27,519,86.3,702,23,171,8.12
JP Faulkner,23,431,71.5,614,23,145,8.55
M Morkel,25,578,96.2,731,23,253,7.59
M Markande,21,397,66.1,596,23,110,9.01
SM Curran,29,565,94.1,957,23,178,10.16
S Gopal,21,428,71.2,557,23,131,7.81
S Aravind,18,350,58.2,457,23,146,7.83
T Natarajan,29,569,94.5,924,23,181,9.74
WD Parnell,19,392,65.2,550,22,167,8.42
KK Cooper,12,276,46.0,349,22,91,7.59
MA Starc,25,504,84.0,785,22,196,9.35
Mohsin Khan,16,342,57.0,467,21,150,8.19
MS Gony,26,494,82.2,731,21,201,8.88
Shahbaz Ahmed,29,386,64.2,658,20,100,10.23
Harpreet Brar,25,451,75.1,578,20,142,7.69
P Awana,15,330,55.0,516,20,120,9.38
Harshit Rana,16,328,54.4,542,20,119,9.91
M Theekshana,19,420,70.0,548,19,126,7.83
P Negi,24,398,66.2,566,19,125,8.53
Washington Sundar,36,599,99.5,832,19,179,8.33
Yuvraj Singh,36,426,71.0,532,19,134,7.49
Yash Thakur,12,254,42.2,471,19,82,11.13
R Sharma,23,466,77.4,603,18,155,7.76
SK Raina,44,579,96.3,685,18,196,7.1
PJ Sangwan,20,390,65.0,598,18,139,9.2
A Kumble,17,387,64.3,425,18,159,6.59
R Dhawan,23,411,68.3,584,18,123,8.53
M Kartik,32,680,113.2,845,18,216,7.46
BA Stokes,16,276,46.0,384,17,98,8.35
AB Agarkar,26,481,80.1,686,17,159,8.56
M Jansen,21,436,72.4,790,17,132,10.87
J Botha,19,412,68.4,474,17,157,6.9
A Kamboj,13,242,40.2,362,17,104,8.98
DT Christian,29,531,88.3,742,17,180,8.38
Mukesh Choudhary,13,262,43.4,412,16,108,9.44
MJ Santner,16,302,50.2,384,16,102,7.63
AD Mathews,24,426,71.0,624,16,116,8.79
Azhar Mahmood,13,303,50.3,383,16,114,7.58
YK Pathan,32,457,76.1,585,15,159,7.68
NLTC Perera,19,343,57.1,523,15,110,9.15
Navdeep Saini,20,405,67.3,558,15,178,8.27
S Sreesanth,21,388,64.4,576,15,166,8.91
N Burger,12,225,37.3,391,15,90,10.43
CR Woakes,7,144,24.0,190,15,65,7.92
Mukesh Kumar,14,278,46.2,537,15,75,11.59
NM Coulter-Nile,17,375,62.3,535,14,155,8.56
IC Pandey,13,246,41.0,300,14,117,7.32
Akash Madhwal,6,120,20.0,157,13,50,7.85
WPUJC Vaas,10,222,37.0,249,13,103,6.73
RG Sharma,19,199,33.1,248,13,58,7.48
CJ Jordan,17,299,49.5,497,13,86,9.97
NT Ellis,11,236,39.2,314,13,76,7.98
Rasikh Salam,11,214,35.4,359,13,69,10.07
Suyash Sharma,19,401,66.5,611,13,121,9.14
Shivam Mavi,11,193,32.1,246,13,87,7.65
R Rampaul,10,199,33.1,236,13,94,7.12
Basil Thampi,13,257,42.5,376,12,83,8.78
R Tewatia,25,394,65.4,525,12,116,7.99
S Nadeem,22,390,65.0,510,12,131,7.85
Harsh Dubey,9,150,25.0,234,12,45,9.36
L Ngidi,8,172,28.4,252,12,68,8.79
Umran Malik,11,177,29.3,280,12,71,9.49
RJ Harris,14,292,48.4,354,12,142,7.27
DS Rathi,15,355,59.1,526,12,99,8.89
AS Rajpoot,12,217,36.1,328,12,92,9.07
RE van der Merwe,10,203,33.5,230,11,78,6.8
Vijaykumar Vyshak,11,224,37.2,344,11,70,9.21
JL Pattinson,7,153,25.3,198,11,58,7.76
K Gowtham,17,270,45.0,370,11,101,8.22
STR Binny,28,264,44.0,368,11,78,8.36
JP Duminy,24,306,51.0,388,11,108,7.61
A Ashish Reddy,12,168,28.0,252,11,53,9.0
AJ Tye,11,258,43.0,405,11,71,9.42
BA Bhatt,9,183,30.3,234,11,62,7.67
Harmeet Singh,14,273,45.3,396,11,92,8.7
C Green,17,249,41.3,355,11,82,8.55
A Singh,11,209,34.5,282,11,81,8.1
GB Hogg,12,242,40.2,310,10,82,7.69
MF Maharoof,10,190,31.4,232,10,77,7.33
DL Vettori,16,363,60.3,422,10,120,6.98
A Symonds,16,246,41.0,358,10,82,8.73
SW Tait,13,293,48.5,371,10,130,7.6
BW Hilfenhaus,10,213,35.3,280,10,98,7.89
CH Gayle,20,273,45.3,356,10,92,7.82
KR Sen,8,147,24.3,217,10,53,8.86
Joginder Sharma,9,153,25.3,256,9,42,10.04
AS Joseph,10,177,29.3,299,9,66,10.14
Sakib Hussain,6,139,23.1,173,9,51,7.47
AM Ghazanfar,6,131,21.5,197,9,44,9.02
SJ Srivastava,7,133,22.1,191,9,56,8.62
VR Aaron,18,337,56.1,543,9,115,9.67
G Coetzee,6,117,19.3,200,9,42,10.26
Anureet Singh,11,190,31.4,317,9,59,10.01
C Bosch,5,104,17.2,151,9,50,8.71
Kartik Tyagi,13,271,45.1,480,9,89,10.63
CRD Fernando,6,142,23.4,185,9,55,7.82
Brijesh Sharma,8,162,27.0,263,9,46,9.74
Bipul Sharma,16,188,31.2,258,9,56,8.23
Prince Yadav,12,234,39.0,367,9,82,9.41
Nithish Kumar Reddy,18,224,37.2,364,9,63,9.75
Naveen-ul-Haq,10,224,37.2,356,9,74,9.54
Azmatullah Omarzai,9,168,28.0,290,9,58,10.36
CR Brathwaite,10,149,24.5,218,9,44,8.78
A Zampa,9,168,28.0,266,9,49,9.5
BB Sran,13,269,44.5,411,9,100,9.17
Ashwani Kumar,6,112,18.4,193,9,34,10.34
DR Smith,22,237,39.3,405,8,59,10.25
R Sai Kishore,11,159,26.3,218,8,43,8.23
LS Livingstone,14,159,26.3,244,8,43,9.21
LR Shukla,14,129,21.3,202,8,42,9.4
DJG Sammy,12,170,28.2,240,8,52,8.47
RS Bopara,8,104,17.2,133,8,35,7.67
Shivang Kumar,9,180,30.0,287,8,51,9.57
PVD Chameera,11,205,34.1,305,8,88,8.93
SC Ganguly,12,174,29.0,204,8,55,7.03
BJ Hodge,9,114,19.0,150,8,38,7.89
Simarjeet Singh,9,152,25.2,237,8,73,9.36
Sohail Tanvir,5,104,17.2,105,8,50,6.06
A Chandila,6,114,19.0,103,8,52,5.42
GD McGrath,6,132,22.0,157,8,57,7.14
AJ Hosein,6,126,21.0,171,8,45,8.14
KW Richardson,5,101,16.5,146,7,41,8.67
TK Curran,7,119,19.5,225,7,27,11.34
Mohammad Nabi,12,219,36.3,304,7,73,8.33
AB McDonald,6,114,19.0,154,7,32,8.11
Mujeeb Ur Rahman,8,180,30.0,228,7,68,7.6
JP Behrendorff,8,168,28.0,244,7,68,8.71
MA Wood,2,49,8.1,50,7,26,6.12
B Lee,15,339,56.3,434,7,144,7.68
KA Jamieson,7,122,20.2,222,7,48,10.92
AS Roy,12,179,29.5,296,7,54,9.92
RP Meredith,8,175,29.1,264,7,66,9.05
KP Appanna,6,108,18.0,137,7,40,7.61
AM Nayar,11,151,25.1,190,7,56,7.55
J Suchith,9,174,29.0,287,6,47,9.9
AG Murtaza,7,168,28.0,195,6,62,6.96
Karanveer Singh,3,72,12.0,102,6,27,8.5
RR Powar,12,180,30.0,249,6,64,8.3
JR Hopes,8,144,24.0,227,6,43,9.46
W O'Rourke,3,62,10.2,132,6,15,12.77
MR Marsh,13,199,33.1,287,6,57,8.65
MP Yadav,5,102,17.0,157,6,46,9.24
S Badree,5,102,17.0,137,6,43,8.06
AA Chavan,8,146,24.2,200,6,57,8.22
S Lamichhane,5,114,19.0,154,6,40,8.11
Ankit Sharma,11,187,31.1,214,6,76,6.87
WG Jacks,12,114,19.0,200,6,30,10.53
Anand Rajan,6,102,17.0,163,6,33,9.59
J Little,5,90,15.0,164,6,27,10.93
IS Sodhi,4,91,15.1,93,6,39,6.13
R McLaren,9,168,28.0,247,6,63,8.82
JA Duffy,3,73,12.1,157,6,27,12.9
OF Smith,5,67,11.1,126,6,27,11.28
Pankaj Singh,7,132,22.0,182,6,52,8.27
YA Abdulla,6,107,17.5,147,6,49,8.24
OC McCoy,6,115,19.1,212,6,28,11.06
AC Thomas,8,153,25.3,174,6,70,6.82
R Shepherd,13,139,23.1,297,5,34,12.82
JD Ryder,9,140,23.2,193,5,46,8.27
P Amarnath,4,90,15.0,175,5,16,11.67
J Overton,6,84,14.0,136,5,30,9.71
JDP Oram,9,148,24.4,250,5,41,10.14
PP Hinge,2,50,8.2,95,5,20,11.4
J Syed Mohammad,4,60,10.0,88,5,18,8.8
BAW Mendis,6,125,20.5,160,5,40,7.68
BCJ Cutting,9,154,25.4,223,5,52,8.69
Abhishek Sharma,23,252,42.0,401,5,66,9.55
B Laughlin,5,85,14.1,139,5,23,9.81
M de Lange,4,86,14.2,141,5,24,9.84
Shoaib Akhtar,3,42,7.0,54,5,23,7.71
Swapnil Singh,9,103,17.1,167,5,22,9.73
ST Jayasuriya,14,198,33.0,292,5,50,8.85
DR Sams,6,122,20.2,200,5,43,9.84
TS Mills,5,95,15.5,158,5,29,9.98
DP Nannes,10,209,34.5,284,5,88,8.15
Akash Deep,7,135,22.3,290,5,40,12.89
M Siddharth,6,123,20.3,187,5,38,9.12
V Pratap Singh,6,138,23.0,188,5,50,8.17
S Tyagi,9,133,22.1,180,5,61,8.12
DJ Hooda,15,145,24.1,218,5,35,9.02
K Kartikeya,6,96,16.0,146,5,30,9.12
Akash Singh,6,121,20.1,222,5,44,11.01
DJ Hussey,11,89,14.5,147,5,21,9.91
S Randiv,6,132,22.0,160,4,43,7.27
AK Markram,13,128,21.2,188,4,35,8.81
PV Tambe,10,180,30.0,262,4,39,8.73
Yash Raj Punja,5,108,18.0,166,4,30,9.22
T Thushara,3,65,10.5,71,4,28,6.55
VRV Singh,9,182,30.2,267,4,59,8.8
SE Bond,4,90,15.0,116,4,36,7.73
R Shukla,4,54,9.0,93,4,16,10.33
BE Hendricks,5,102,17.0,162,4,36,9.53
SB Styris,6,108,18.0,132,4,41,7.33
Shoaib Ahmed,4,66,11.0,85,4,24,7.73
SH Johnson,6,92,15.2,159,4,41,10.37
VY Mahesh,7,120,20.0,193,4,34,9.65
Zeeshan Ansari,5,108,18.0,176,4,29,9.78
KC Cariappa,5,90,15.0,139,4,25,9.27
KM Asif,4,68,11.2,108,4,27,9.53
Gurkeerat Singh,4,54,9.0,62,4,19,6.89
FH Edwards,4,93,15.3,130,4,38,8.39
C de Grandhomme,5,66,11.0,92,4,22,8.36
KMA Paul,4,80,13.2,108,4,28,8.1
PD Collingwood,3,35,5.5,32,4,13,5.49
J Theron,4,85,14.1,138,4,23,9.74
KL Nagarkoti,6,102,17.0,144,4,38,8.47
HF Gurney,5,91,15.1,130,3,26,8.57
