batter,innings,total_runs,balls_faced,fours,sixes,strike_rate
V Kohli,277,9346,6930,847,317,134.86
RG Sharma,276,7331,5517,661,324,132.88
S Dhawan,222,6769,5326,768,153,127.09
DA Warner,187,6567,4702,663,236,139.66
KL Rahul,152,5828,4188,509,239,139.16
SK Raina,201,5536,4046,506,204,136.83
MS Dhoni,241,5439,3957,375,264,137.45
AM Rahane,197,5367,4273,540,141,125.6
AB de Villiers,172,5181,3411,414,253,151.89
SV Samson,185,5181,3671,432,243,141.13
CH Gayle,145,4997,3346,408,359,149.34
RV Uthappa,198,4954,3801,481,182,130.33
KD Karthik,235,4843,3580,466,161,135.28
F du Plessis,147,4773,3515,440,174,135.79
JC Buttler,137,4647,3105,459,211,149.66
Shubman Gill,130,4598,3236,446,152,142.09
SA Yadav,165,4581,3084,482,178,148.54
AT Rayudu,185,4348,3409,359,173,127.54
SS Iyer,145,4233,3095,354,182,136.77
G Gambhir,151,4217,3404,492,59,123.88
MK Pandey,165,4021,3297,348,118,121.96
SR Watson,143,3880,2813,377,190,137.93
RR Pant,140,3879,2644,351,181,146.71
Ishan Kishan,127,3600,2508,348,166,143.54
RA Jadeja,205,3526,2699,264,122,130.64
Q de Kock,119,3444,2553,334,143,134.9
KA Pollard,172,3437,2329,221,224,147.57
DA Miller,144,3288,2358,235,152,139.44
YK Pathan,154,3222,2245,263,161,143.52
N Rana,121,3078,2235,288,151,137.72
HH Pandya,153,2964,2025,228,157,146.37
WP Saha,143,2934,2300,296,87,127.57
BB McCullum,111,2882,2190,293,130,131.6
PA Patel,136,2848,2358,365,49,120.78
RD Gaikwad,84,2839,2093,260,107,135.64
GJ Maxwell,135,2820,1818,238,161,155.12
MA Agarwal,126,2764,2066,275,100,133.79
Yuvraj Singh,127,2754,2122,218,149,129.78
V Sehwag,104,2728,1755,334,106,155.44
AD Russell,115,2655,1525,187,223,174.1
M Vijay,105,2619,2149,247,91,121.87
YBK Jaiswal,82,2593,1697,311,110,152.8
N Pooran,103,2527,1543,169,186,163.77
B Sai Sudharsan,57,2515,1686,258,83,149.17
SPD Smith,95,2495,1945,226,60,128.28
SE Marsh,70,2489,1871,269,78,133.03
JH Kallis,95,2427,2222,255,44,109.23
DR Smith,88,2385,1764,245,117,135.2
Abhishek Sharma,89,2379,1389,224,144,171.27
SR Tendulkar,78,2334,1948,296,29,119.82
RA Tripathi,98,2291,1662,229,85,137.85
D Padikkal,89,2270,1705,241,80,133.14
MP Stoinis,108,2242,1520,181,117,147.5
R Dravid,82,2174,1882,269,28,115.52
KS Williamson,77,2132,1697,187,64,125.63
S Dube,87,2129,1464,132,137,145.42
H Klaasen,60,2104,1262,146,120,166.72
