year,matches,total_runs,total_wickets,fours,sixes,average_score,highest_score
2008,58,17937,690,1703,623,154.63,240
2009,57,16353,698,1321,508,140.97,211
2010,60,18883,725,1709,587,154.78,246
2011,73,21154,813,1916,639,145.89,232
2012,74,22453,858,1911,733,151.71,222
2013,76,22602,912,2054,681,144.88,263
2014,60,18931,674,1563,715,155.17,231
2015,59,18353,691,1611,692,154.23,235
2016,60,18862,666,1633,639,157.18,248
2017,59,18786,711,1612,706,156.55,230
2018,60,19901,722,1652,872,165.84,245
2019,60,19434,685,1655,786,156.73,232
2020,60,19416,677,1589,736,149.35,228
2021,60,18637,717,1551,687,152.76,235
2022,74,24395,912,2020,1062,164.83,222
2023,74,25688,916,2175,1124,174.75,257
2024,71,25971,883,2175,1261,182.89,287
2025,74,26527,873,2263,1302,179.24,286
2026,74,27455,882,2334,1426,184.26,265
