team,matches,wins,losses,toss_wins,runs_scored,runs_conceded,win_percentage
Mumbai Indians,291,155,136,160,21900,22503,53.26
Chennai Super Kings,266,148,118,133,18851,22123,55.64
Royal Challengers Bengaluru,286,143,143,136,21480,22298,50.0
Kolkata Knight Riders,278,140,138,135,21351,19607,50.36
Punjab Kings,278,126,152,129,21081,22292,45.32
Delhi Capitals,281,125,156,148,24039,17999,44.48
Rajasthan Royals,251,123,128,137,20685,17830,49.0
Sunrisers Hyderabad,211,102,109,100,14515,18032,48.34
Gujarat Titans,77,47,30,36,7406,5547,61.04
Lucknow Super Giants,72,34,38,30,5108,7099,47.22
Deccan Chargers,75,29,46,43,4698,6411,38.67
Rising Pune Supergiants,30,15,15,13,940,1097,50.0
Gujarat Lions,30,13,17,15,2595,2146,43.33
Pune Warriors,46,12,34,20,3385,2925,26.09
Kochi Tuskers Kerala,14,6,8,8,892,998,42.86
