match_id,year,match_date,city,venue,team1,team2,winner,toss_winner,toss_decision,player_of_the_match
1082591,2017,2017-04-05,Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,field,Yuvraj Singh
1082592,2017,2017-04-06,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants,field,SPD Smith
1082593,2017,2017-04-07,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,field,CA Lynn
1082594,2017,2017-04-08,Indore,Holkar Cricket Stadium,Punjab Kings,Rising Pune Supergiants,Punjab Kings,Punjab Kings,field,GJ Maxwell
1082595,2017,2017-04-08,Bengaluru,M. Chinnaswamy Stadium,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,KM Jadhav
1082596,2017,2017-04-09,Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rashid Khan
1082597,2017,2017-04-09,Mumbai,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,N Rana
1082598,2017,2017-04-10,Indore,Holkar Cricket Stadium,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,bat,AR Patel
1082599,2017,2017-04-11,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Delhi Capitals,Delhi Capitals,Rising Pune Supergiants,field,SV Samson
1082600,2017,2017-04-12,Mumbai,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,JJ Bumrah
1082601,2017,2017-04-13,Kolkata,Eden Gardens,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,SP Narine
1082602,2017,2017-04-14,Bangalore,M. Chinnaswamy Stadium,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Mumbai Indians,field,KA Pollard
1082603,2017,2017-04-14,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,field,AJ Tye
1082604,2017,2017-04-15,Kolkata,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,RV Uthappa
1082605,2017,2017-04-15,Delhi,Arun Jaitley Stadium,Delhi Capitals,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,CJ Anderson
1082606,2017,2017-04-16,Mumbai,Wankhede Stadium,Mumbai Indians,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,N Rana
1082607,2017,2017-04-16,Bangalore,M. Chinnaswamy Stadium,Royal Challengers Bengaluru,Rising Pune Supergiants,Rising Pune Supergiants,Royal Challengers Bengaluru,field,BA Stokes
1082608,2017,2017-04-17,Delhi,Arun Jaitley Stadium,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals,bat,NM Coulter-Nile
1082609,2017,2017-04-17,Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,B Kumar
1082610,2017,2017-04-18,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Gujarat Lions,field,CH Gayle
1082611,2017,2017-04-19,Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,KS Williamson
1082612,2017,2017-04-20,Indore,Holkar Cricket Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,field,JC Buttler
1082613,2017,2017-04-21,Kolkata,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Gujarat Lions,field,SK Raina
1082614,2017,2017-04-22,Mumbai,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,MJ McClenaghan
1082615,2017,2017-04-22,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,MS Dhoni
1082616,2017,2017-04-23,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Punjab Kings,Punjab Kings,Gujarat Lions,field,HM Amla
1082617,2017,2017-04-23,Kolkata,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,NM Coulter-Nile
1082618,2017,2017-04-24,Mumbai,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants,Mumbai Indians,field,BA Stokes
1082620,2017,2017-04-26,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,field,RV Uthappa
