venue_id,venue_name
1,Arun Jaitley Stadium
2,Barabati Stadium
3,Barsapara Cricket Stadium
4,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium
5,Brabourne Stadium
6,Buffalo Park
7,De Beers Diamond Oval
8,Dr DY Patil Sports Academy
9,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
10,Dubai International Cricket Stadium
11,Eden Gardens
12,Green Park
13,Himachal Pradesh Cricket Association Stadium
14,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
15,Holkar Cricket Stadium
16,JSCA International Stadium Complex
17,Kingsmead
18,M. Chinnaswamy Stadium
19,MA Chidambaram Stadium
20,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
21,Maharashtra Cricket Association Stadium
22,Narendra Modi Stadium
23,Nehru Stadium
24,New Wanderers Stadium
25,Newlands
26,OUTsurance Oval
27,Punjab Cricket Association IS Bindra Stadium
28,Rajiv Gandhi International Stadium
29,Saurashtra Cricket Association Stadium
30,Sawai Mansingh Stadium
31,Shaheed Veer Narayan Singh International Stadium
32,Sharjah Cricket Stadium
33,Sheikh Zayed Stadium
34,St George's Park
35,Subrata Roy Sahara Stadium
36,SuperSport Park
37,"Vidarbha Cricket Association Stadium, Jamtha"
38,Wankhede Stadium
39,"Zayed Cricket Stadium, Abu Dhabi"
